dataset,size_fraction,comparison,mean_diff,wilcoxon_p_raw,holm_significant,favors
WDBC,0.1,A vs B,-0.0045304232804232,0.15234375,False,X (control)
WDBC,0.1,A vs C,-0.0034060846560846,0.193359375,False,X (control)
WDBC,0.1,A vs D,-0.0009259259259258,0.625,False,X (control)
WDBC,0.25,A vs B,0.0007936507936508,0.447265625,False,A (quantum)
WDBC,0.25,A vs C,-6.61375661375585e-05,0.642578125,False,X (control)
WDBC,0.25,A vs D,0.0025462962962963,0.07421875,False,A (quantum)
WDBC,0.5,A vs B,-0.0005621693121692,0.17578125,False,X (control)
WDBC,0.5,A vs C,-0.0005621693121692,0.234375,False,X (control)
WDBC,0.5,A vs D,-6.61375661375696e-05,0.7109375,False,X (control)
WDBC,1.0,A vs B,-0.0003637566137565,0.23046875,False,X (control)
WDBC,1.0,A vs C,-0.0001322751322751,1.0,False,X (control)
WDBC,1.0,A vs D,0.0001322751322751,0.9140625,False,A (quantum)
Heart Disease,0.1,A vs B,-0.0354910714285714,0.16015625,False,X (control)
Heart Disease,0.1,A vs C,-0.0254464285714286,0.232421875,False,X (control)
Heart Disease,0.1,A vs D,0.0351562499999999,0.244140625,False,A (quantum)
Heart Disease,0.25,A vs B,-0.0397321428571428,0.00390625,True,X (control)
Heart Disease,0.25,A vs C,-0.0291294642857143,0.00390625,True,X (control)
Heart Disease,0.25,A vs D,-0.0323660714285714,0.130859375,False,X (control)
Heart Disease,0.5,A vs B,-0.0316964285714285,0.0546875,False,X (control)
Heart Disease,0.5,A vs C,-0.0329241071428571,0.01953125,False,X (control)
Heart Disease,0.5,A vs D,-0.0222098214285714,0.16015625,False,X (control)
Heart Disease,1.0,A vs B,0.0042410714285714,0.01953125,False,A (quantum)
Heart Disease,1.0,A vs C,0.0060267857142857,0.1015625,False,A (quantum)
Heart Disease,1.0,A vs D,0.0074776785714285,0.1640625,False,A (quantum)
Parkinson's,0.1,A vs B,-0.041551724137931,0.083984375,False,X (control)
Parkinson's,0.1,A vs C,-0.0577586206896551,0.10546875,False,X (control)
Parkinson's,0.1,A vs D,-0.0074137931034482,0.845703125,False,X (control)
Parkinson's,0.25,A vs B,-0.0241379310344827,0.13671875,False,X (control)
Parkinson's,0.25,A vs C,-0.0324137931034482,0.15234375,False,X (control)
Parkinson's,0.25,A vs D,-0.0072413793103447,0.625,False,X (control)
Parkinson's,0.5,A vs B,0.0034482758620689,0.51953125,False,A (quantum)
Parkinson's,0.5,A vs C,0.0158620689655172,0.845703125,False,A (quantum)
Parkinson's,0.5,A vs D,0.0258620689655172,0.037109375,False,A (quantum)
Parkinson's,1.0,A vs B,0.0037931034482758,0.4453125,False,A (quantum)
Parkinson's,1.0,A vs C,0.0096551724137931,0.65234375,False,A (quantum)
Parkinson's,1.0,A vs D,0.0148275862068965,0.041015625,False,A (quantum)
