threshold,net_benefit_controlA,net_benefit_controlB,net_benefit_all,net_benefit_none,tp_controlA,fp_controlA,tp_controlB,fp_controlB,delta_nb
0.01,0.36691,0.36656,0.36204,0.0,42,17,42,21,0.00035
0.02,0.36663,0.36574,0.35553,0.0,42,10,42,15,0.0009
0.03,0.36625,0.36489,0.34889,0.0,42,8,42,13,0.00136
0.04,0.36586,0.36513,0.34211,0.0,42,7,42,9,0.00073
0.05,0.36519,0.36427,0.33518,0.0,42,7,42,9,0.00092
0.06,0.36506,0.36338,0.32811,0.0,42,6,42,9,0.00168
0.07,0.36446,0.3638,0.32088,0.0,42,6,42,7,0.00066
0.08,0.36384,0.36308,0.3135,0.0,42,6,42,7,0.00076
0.09,0.36408,0.36235,0.30596,0.0,42,5,42,7,0.00174
0.1,0.36355,0.36257,0.29825,0.0,42,5,42,6,0.00097
0.11,0.363,0.36192,0.29036,0.0,42,5,42,6,0.00108
0.12,0.36244,0.36124,0.2823,0.0,42,5,42,6,0.0012
0.13,0.3531,0.36056,0.27405,0.0,41,5,42,6,-0.00746
0.14,0.35251,0.35985,0.26561,0.0,41,5,42,6,-0.00734
0.15,0.35501,0.35913,0.25697,0.0,41,3,42,6,-0.00413
0.16,0.35464,0.36007,0.24812,0.0,41,3,42,5,-0.00543
0.17,0.35426,0.35944,0.23906,0.0,41,3,42,5,-0.00518
0.18,0.35387,0.35002,0.22978,0.0,41,3,41,5,0.00385
0.19,0.35348,0.34936,0.22027,0.0,41,3,41,5,0.00412
0.2,0.35307,0.34868,0.21053,0.0,41,3,41,5,0.00439
0.21,0.35265,0.35032,0.20053,0.0,41,3,41,4,0.00233
0.22,0.35223,0.34975,0.19028,0.0,41,3,41,4,0.00247
0.23,0.35179,0.34917,0.17977,0.0,41,3,41,4,0.00262
0.24,0.35134,0.34857,0.16898,0.0,41,3,41,4,0.00277
0.25,0.35088,0.34795,0.15789,0.0,41,3,41,4,0.00292
0.26,0.3504,0.34732,0.14651,0.0,41,3,41,4,0.00308
0.27,0.35316,0.34667,0.13482,0.0,41,2,41,4,0.00649
0.28,0.35283,0.34942,0.12281,0.0,41,2,41,3,0.00341
0.29,0.35248,0.3489,0.11045,0.0,41,2,41,3,0.00358
0.3,0.35213,0.34837,0.09774,0.0,41,2,41,3,0.00376
0.31,0.35177,0.34783,0.08467,0.0,41,2,41,3,0.00394
0.32,0.35139,0.34727,0.07121,0.0,41,2,41,3,0.00413
0.33,0.35101,0.35101,0.05734,0.0,41,2,41,2,0.0
0.34,0.35061,0.35061,0.04306,0.0,41,2,41,2,0.0
0.35,0.3502,0.3502,0.02834,0.0,41,2,41,2,0.0
