model,seed,domain,auc,acc,sens,spec,f1,brier
Control A (Hybrid QNN),42,"In-Domain (Cleveland Test, N=61)",0.829004329004329,0.6885245901639344,0.6071428571428571,0.7575757575757576,0.6415094339622641,0.20747734606266022
Control A (Hybrid QNN),42,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9530000000000001,0.8925925925925926,0.85,0.9266666666666666,0.8755364806866953,0.0840616449713707
Control B (Classical MLP),42,"In-Domain (Cleveland Test, N=61)",0.8982683982683983,0.8360655737704918,0.8571428571428571,0.8181818181818182,0.8275862068965517,0.13565883040428162
Control B (Classical MLP),42,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9469444444444444,0.8703703703703703,0.85,0.8866666666666667,0.8535564853556485,0.09196702390909195
Control A (Hybrid QNN),43,"In-Domain (Cleveland Test, N=61)",0.8538961038961039,0.7377049180327869,0.7142857142857143,0.7575757575757576,0.7142857142857143,0.1749657839536667
Control A (Hybrid QNN),43,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9527222222222221,0.8888888888888888,0.8833333333333333,0.8933333333333333,0.8760330578512396,0.0841360092163086
Control B (Classical MLP),43,"In-Domain (Cleveland Test, N=61)",0.9372294372294372,0.8524590163934426,0.9285714285714286,0.7878787878787878,0.8524590163934426,0.11539486795663834
Control B (Classical MLP),43,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9409444444444445,0.8888888888888888,0.9,0.88,0.8780487804878049,0.09562823921442032
Control A (Hybrid QNN),44,"In-Domain (Cleveland Test, N=61)",0.7976190476190476,0.7213114754098361,0.75,0.696969696969697,0.711864406779661,0.2027534395456314
Control A (Hybrid QNN),44,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9373333333333334,0.8703703703703703,0.8833333333333333,0.86,0.8582995951417004,0.09323577582836151
Control B (Classical MLP),44,"In-Domain (Cleveland Test, N=61)",0.9177489177489178,0.8032786885245902,0.8928571428571429,0.7272727272727273,0.8064516129032258,0.1268785148859024
Control B (Classical MLP),44,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9391111111111111,0.8703703703703703,0.8833333333333333,0.86,0.8582995951417004,0.09865254908800125
Control A (Hybrid QNN),45,"In-Domain (Cleveland Test, N=61)",0.8885281385281385,0.7704918032786885,0.8571428571428571,0.696969696969697,0.7741935483870968,0.16364365816116333
Control A (Hybrid QNN),45,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9567777777777777,0.8888888888888888,0.9083333333333333,0.8733333333333333,0.8790322580645161,0.08405515551567078
Control B (Classical MLP),45,"In-Domain (Cleveland Test, N=61)",0.9448051948051948,0.8688524590163934,0.9285714285714286,0.8181818181818182,0.8666666666666667,0.10766804963350296
Control B (Classical MLP),45,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9473333333333332,0.8851851851851852,0.875,0.8933333333333333,0.8713692946058091,0.09255822747945786
Control A (Hybrid QNN),46,"In-Domain (Cleveland Test, N=61)",0.7965367965367965,0.7213114754098361,0.7142857142857143,0.7272727272727273,0.7017543859649122,0.20985230803489685
Control A (Hybrid QNN),46,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.943611111111111,0.8925925925925926,0.8916666666666667,0.8933333333333333,0.8806584362139918,0.08402027189731598
Control B (Classical MLP),46,"In-Domain (Cleveland Test, N=61)",0.9112554112554112,0.7868852459016393,0.8214285714285714,0.7575757575757576,0.7796610169491526,0.1288881152868271
Control B (Classical MLP),46,"Out-Of-Domain (Statlog Zero-Shot, N=270)",0.9349444444444445,0.8592592592592593,0.8833333333333333,0.84,0.848,0.10067538172006607
