seed,concept_s,qsvm_accuracy,qsvm_auc,qsvm_kta,csvm_accuracy,csvm_auc,csvm_kta,delta_accuracy,delta_auc,delta_kta
0,3,0.9444444444444444,1.0,0.3370756722022309,0.4444444444444444,0.4567901234567901,0.010560272451400782,0.5,0.5432098765432098,0.3265153997508301
1,8,0.9444444444444444,1.0,0.33536511749306486,0.4444444444444444,0.345679012345679,0.008976355640090566,0.5,0.654320987654321,0.3263887618529743
2,13,0.8888888888888888,0.962962962962963,0.35818986198128017,0.3888888888888889,0.5555555555555556,0.022933050295726447,0.49999999999999994,0.40740740740740744,0.3352568116855537
3,18,0.9444444444444444,1.0,0.3400540803196378,0.5,0.4320987654320988,0.030403659018369923,0.4444444444444444,0.5679012345679012,0.30965042130126785
4,23,1.0,1.0,0.32123627103467056,0.4444444444444444,0.4444444444444445,0.015193877320643943,0.5555555555555556,0.5555555555555556,0.30604239371402664
5,28,1.0,1.0,0.3170072286393983,0.6111111111111112,0.691358024691358,0.023130768690564397,0.38888888888888884,0.308641975308642,0.2938764599488339
6,33,0.9444444444444444,1.0,0.3461440398997094,0.3333333333333333,0.271604938271605,0.016477702802446172,0.6111111111111112,0.728395061728395,0.32966633709726323
7,38,0.9444444444444444,1.0,0.3637735642118379,0.3888888888888889,0.3333333333333333,0.010560267738252102,0.5555555555555556,0.6666666666666667,0.3532132964735858
8,43,0.9444444444444444,1.0,0.3403016855190794,0.6111111111111112,0.5555555555555556,0.017165894326187123,0.33333333333333326,0.4444444444444444,0.32313579119289226
9,48,1.0,1.0,0.32269905231127455,0.5555555555555556,0.5925925925925926,0.020684398799082092,0.4444444444444444,0.40740740740740744,0.3020146535121925
