operating_point,epsilon,epsilon_display,delta,noise_multiplier,clip_norm,rounds,seed,accuracy,auc,sensitivity,specificity,f1
Non-private Baseline,999999.0,inf,0.0,0.0,1.0,10,42,0.9561,0.9957,0.881,1.0,0.9367
Non-private Baseline,999999.0,inf,0.0,0.0,1.0,10,43,0.9561,0.9967,0.881,1.0,0.9367
Non-private Baseline,999999.0,inf,0.0,0.0,1.0,10,44,0.9649,0.9954,0.9048,1.0,0.95
Non-private Baseline,999999.0,inf,0.0,0.0,1.0,10,45,0.9561,0.996,0.881,1.0,0.9367
Non-private Baseline,999999.0,inf,0.0,0.0,1.0,10,46,0.9737,0.996,0.9286,1.0,0.963
Weak DP (eps ~ 8),7.945422996412243,7.95,0.0001,1.85,1.0,10,42,0.7193,0.912,0.2381,1.0,0.3846
Weak DP (eps ~ 8),7.945422996412243,7.95,0.0001,1.85,1.0,10,43,0.5439,0.5271,0.1905,0.75,0.2353
Weak DP (eps ~ 8),7.945422996412243,7.95,0.0001,1.85,1.0,10,44,0.5439,0.4481,0.0,0.8611,0.0
Weak DP (eps ~ 8),7.945422996412243,7.95,0.0001,1.85,1.0,10,45,0.6754,0.7867,0.3095,0.8889,0.4127
Weak DP (eps ~ 8),7.945422996412243,7.95,0.0001,1.85,1.0,10,46,0.6316,0.8327,0.0,1.0,0.0
Moderate DP (eps ~ 3),2.9210357081651974,2.92,0.0001,4.3,1.0,10,42,0.6667,0.4914,0.119,0.9861,0.2083
Moderate DP (eps ~ 3),2.9210357081651974,2.92,0.0001,4.3,1.0,10,43,0.6228,0.5605,0.0714,0.9444,0.1224
Moderate DP (eps ~ 3),2.9210357081651974,2.92,0.0001,4.3,1.0,10,44,0.6316,0.6541,0.0,1.0,0.0
Moderate DP (eps ~ 3),2.9210357081651974,2.92,0.0001,4.3,1.0,10,45,0.3684,0.4415,1.0,0.0,0.5385
Moderate DP (eps ~ 3),2.9210357081651974,2.92,0.0001,4.3,1.0,10,46,0.6316,0.5357,0.0,1.0,0.0
Strong DP (eps ~ 1),0.9606759059048688,0.96,0.0001,11.5,1.0,10,42,0.6316,0.5339,0.0,1.0,0.0
Strong DP (eps ~ 1),0.9606759059048688,0.96,0.0001,11.5,1.0,10,43,0.5789,0.5552,0.5476,0.5972,0.4894
Strong DP (eps ~ 1),0.9606759059048688,0.96,0.0001,11.5,1.0,10,44,0.6404,0.6442,0.0238,1.0,0.0465
Strong DP (eps ~ 1),0.9606759059048688,0.96,0.0001,11.5,1.0,10,45,0.3684,0.4897,1.0,0.0,0.5385
Strong DP (eps ~ 1),0.9606759059048688,0.96,0.0001,11.5,1.0,10,46,0.6316,0.5764,0.0,1.0,0.0
