dataset,size_pct,size_frac,control,control_label,n_seeds,n_train,auc_mean,auc_std,acc_mean,acc_std,sens_mean,sens_std,train_time_mean
Heart Disease,10,0.1,A,"Control A (Hybrid VQC, 73p)",10,23,0.8552455357142852,0.06907040575485916,0.768333333333333,0.07389097741409202,0.7821428571428568,0.0959054002910611,0.7879511356353757
Heart Disease,10,0.1,B,"Control B (Classical MLP, 73p)",10,23,0.890736607142857,0.04571035822391142,0.7883333333333331,0.050338361289219036,0.7785714285714281,0.08213423005076353,0.0198879241943355
Heart Disease,10,0.1,C,Control C (Ablated Entanglement),10,23,0.8806919642857138,0.042438280775798254,0.7816666666666665,0.05580499557265651,0.7607142857142855,0.06951810152693531,0.6873219728469846
Heart Disease,10,0.1,D,Control D (Frozen Feature Map),10,23,0.8200892857142854,0.08971529840714072,0.7516666666666664,0.08144148850176237,0.7214285714285709,0.1690308509457032,0.6373478412628168
Heart Disease,25,0.25,A,"Control A (Hybrid VQC, 73p)",10,59,0.8824776785714283,0.04935747992966287,0.8049999999999997,0.051550047598497864,0.7285714285714281,0.1080648163610498,0.9026005268096922
Heart Disease,25,0.25,B,"Control B (Classical MLP, 73p)",10,59,0.922209821428571,0.03828430488412474,0.8283333333333329,0.041611074024608875,0.7892857142857139,0.08980010555069577,0.017322421073913102
Heart Disease,25,0.25,C,Control C (Ablated Entanglement),10,59,0.9116071428571425,0.042631396397004105,0.8166666666666664,0.03849001794597505,0.7678571428571426,0.08788585154900824,0.7908745527267452
Heart Disease,25,0.25,D,Control D (Frozen Feature Map),10,59,0.9148437499999996,0.03185553662192518,0.848333333333333,0.03186584533266665,0.8035714285714282,0.08788585154900817,0.7287889957427975
Heart Disease,50,0.5,A,"Control A (Hybrid VQC, 73p)",10,118,0.8991071428571425,0.054116870262120066,0.8116666666666663,0.034291776360024534,0.7214285714285709,0.07491491772643939,1.089631080627441
Heart Disease,50,0.5,B,"Control B (Classical MLP, 73p)",10,118,0.930803571428571,0.01802684738033593,0.833333333333333,0.027216552697590976,0.771428571428571,0.05106573949887434,0.0161655426025386
Heart Disease,50,0.5,C,Control C (Ablated Entanglement),10,118,0.9320312499999996,0.01464139392732827,0.8316666666666664,0.021444732295132118,0.764285714285714,0.048210611265039456,0.9670272350311275
Heart Disease,50,0.5,D,Control D (Frozen Feature Map),10,118,0.9213169642857139,0.039708204900981765,0.8366666666666663,0.028109134757052297,0.7571428571428569,0.06900655593423552,0.8863310098648067
Heart Disease,100,1.0,A,"Control A (Hybrid VQC, 73p)",10,237,0.952678571428571,0.004182580155522398,0.8449999999999998,0.013721210039142624,0.7857142857142853,0.023809523809523673,1.7558472394943234
Heart Disease,100,1.0,B,"Control B (Classical MLP, 73p)",10,237,0.9484374999999996,0.004670343698355795,0.8283333333333329,0.00805076485899423,0.778571428571428,0.015058465048420566,0.0303873300552362
Heart Disease,100,1.0,C,Control C (Ablated Entanglement),10,237,0.9466517857142854,0.008769036022967778,0.8349999999999997,0.009460770203292604,0.778571428571428,0.015058465048420575,1.6546770095825192
