dataset,seed,n_train,kta_qsvm,kta_csvm,delta_kta_q_minus_c
WDBC,0,455,0.0965952186753256,0.30915482394165295,-0.21255960526632733
WDBC,1,455,0.09087093326690915,0.30048599999093417,-0.20961506672402502
WDBC,2,455,0.09898346659602969,0.3100190950614604,-0.21103562846543072
WDBC,3,455,0.09509329646441417,0.29707824744973677,-0.2019849509853226
WDBC,4,455,0.09907346464802586,0.30151687271426403,-0.20244340806623817
WDBC,5,455,0.09860563885634697,0.30243432137495674,-0.20382868251860975
WDBC,6,455,0.10000562699441025,0.30357225106556723,-0.203566624071157
WDBC,7,455,0.09771677927675747,0.3097989795623006,-0.21208220028554314
WDBC,8,455,0.10052875118819248,0.2987000636223727,-0.19817131243418024
WDBC,9,455,0.09910633223331293,0.31147465316669454,-0.2123683209333816
Heart Disease,0,237,0.06921838124016465,0.18815785019651002,-0.11893946895634537
Heart Disease,1,237,0.06389019163705213,0.1820655324600585,-0.11817534082300636
Heart Disease,2,237,0.06790989398827275,0.18344988152917463,-0.11553998754090188
Heart Disease,3,237,0.0645696409473116,0.1964903775570357,-0.1319207366097241
Heart Disease,4,237,0.06881540269784078,0.19102662465748518,-0.1222112219596444
Heart Disease,5,237,0.06724145088222098,0.17457167633615445,-0.10733022545393346
Heart Disease,6,237,0.07427283378585532,0.175645572131682,-0.10137273834582668
Heart Disease,7,237,0.0652993942777528,0.20951990486778083,-0.14422051059002802
Heart Disease,8,237,0.06879334489832954,0.20619614127700675,-0.1374027963786772
Heart Disease,9,237,0.0693251118381054,0.19336426471256848,-0.12403915287446309
Parkinson's,0,156,0.15391681022151824,0.20852525899646035,-0.054608448774942114
Parkinson's,1,156,0.14701118038761113,0.19930802319796703,-0.052296842810355904
Parkinson's,2,156,0.15515877487943075,0.20868676701839678,-0.05352799213896603
Parkinson's,3,156,0.14746468593054377,0.20151908256346002,-0.05405439663291625
Parkinson's,4,156,0.16155408781121647,0.19721027030330943,-0.03565618249209296
Parkinson's,5,156,0.16118114357421193,0.22643848119524937,-0.06525733762103744
Parkinson's,6,156,0.15454464811317367,0.20530141762478374,-0.05075676951161007
Parkinson's,7,156,0.1615712779122002,0.19444373383340566,-0.03287245592120547
Parkinson's,8,156,0.15368101127732792,0.19438436838376996,-0.040703357106442045
Parkinson's,9,156,0.14499699835079352,0.1970403295913454,-0.05204333124055188
Liver (ILPD),0,463,0.08653727731608055,0.10257424451196237,-0.016036967195881824
Liver (ILPD),1,463,0.09023929789007774,0.11117154893024013,-0.020932251040162386
Liver (ILPD),2,463,0.07659865045056528,0.09468032946591229,-0.018081679015347005
Liver (ILPD),3,463,0.0735149565014816,0.09623307062772807,-0.02271811412624647
Liver (ILPD),4,463,0.07803405949672633,0.1072487376095977,-0.029214678112871373
Liver (ILPD),5,463,0.07861773006366256,0.10351852334001654,-0.024900793276353986
Liver (ILPD),6,463,0.07413344851623524,0.09842952061853558,-0.024296072102300337
Liver (ILPD),7,463,0.0782553816758374,0.09499592483245631,-0.01674054315661891
Liver (ILPD),8,463,0.08858385511259875,0.10631862471888798,-0.017734769606289225
Liver (ILPD),9,463,0.09261085231305989,0.10059962840719915,-0.007988776094139255
Kidney (17-feat ablated),0,126,0.5156980592319628,0.6689400858937196,-0.1532420266617568
Kidney (17-feat ablated),1,126,0.37765013996709523,0.6464388307846517,-0.26878869081755646
Kidney (17-feat ablated),2,126,0.3363389463817874,0.6507751767387657,-0.3144362303569783
Kidney (17-feat ablated),3,126,0.42214968164517247,0.6647696917246707,-0.24262001007949824
Kidney (17-feat ablated),4,126,0.3448484301679481,0.6655843348527853,-0.32073590468483726
Kidney (17-feat ablated),5,126,0.3395738133886613,0.6478782308246822,-0.3083044174360209
Kidney (17-feat ablated),6,126,0.3426672141500958,0.6387887641537835,-0.2961215500036877
Kidney (17-feat ablated),7,126,0.3656911002596326,0.6632109132271301,-0.2975198129674975
Kidney (17-feat ablated),8,126,0.47592313898424615,0.6688389324563826,-0.19291579347213644
Kidney (17-feat ablated),9,126,0.43698774841950194,0.6672554786643188,-0.23026773024481684
