missing_rate,missing_pct,seed,model,auc_roc,accuracy,sensitivity,f1,mean_abs_delta_p,class_flips_50,class_flips_tau10,zero_miss_fn
0.0,0%,0,Control A (Hybrid Quantum),0.9983465608465609,0.9824561403508771,0.9523809523809523,0.975609756097561,0.0,0,0,0
0.0,0%,0,Control B (Classical MLP),0.998015873015873,0.9736842105263158,0.9523809523809523,0.963855421686747,0.0,0,0,0
0.05,5%,42,Control A (Hybrid Quantum),0.9976851851851851,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.014576527290046215,1,4,1
0.05,5%,42,Control B (Classical MLP),0.9983465608465609,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.014592400752007961,2,2,1
0.05,5%,101,Control A (Hybrid Quantum),0.998015873015873,0.9824561403508771,0.9523809523809523,0.975609756097561,0.0030152671970427036,0,1,0
0.05,5%,101,Control B (Classical MLP),0.9976851851851851,0.9736842105263158,0.9523809523809523,0.963855421686747,0.003746135625988245,0,0,0
0.05,5%,202,Control A (Hybrid Quantum),0.998015873015873,0.9824561403508771,0.9523809523809523,0.975609756097561,0.009382572025060654,0,0,0
0.05,5%,202,Control B (Classical MLP),0.998015873015873,0.9736842105263158,0.9523809523809523,0.963855421686747,0.009777725674211979,0,0,0
0.05,5%,303,Control A (Hybrid Quantum),0.9983465608465609,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.00947277806699276,1,1,0
0.05,5%,303,Control B (Classical MLP),0.998015873015873,0.9649122807017544,0.9285714285714286,0.9512195121951219,0.009335659444332123,1,1,0
0.05,5%,404,Control A (Hybrid Quantum),0.996362433862434,0.9649122807017544,0.9047619047619048,0.95,0.013660813681781292,2,0,0
0.05,5%,404,Control B (Classical MLP),0.9970238095238095,0.956140350877193,0.9047619047619048,0.9382716049382716,0.012879965826869011,2,0,0
0.1,10%,42,Control A (Hybrid Quantum),0.9993386243386243,0.9912280701754386,0.9761904761904762,0.9879518072289156,0.013404758647084236,1,3,0
0.1,10%,42,Control B (Classical MLP),0.9986772486772486,0.9912280701754386,0.9761904761904762,0.9879518072289156,0.01575143076479435,2,0,0
0.1,10%,101,Control A (Hybrid Quantum),0.9966931216931216,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.020373979583382607,1,4,1
0.1,10%,101,Control B (Classical MLP),0.9966931216931216,0.9824561403508771,0.9523809523809523,0.975609756097561,0.0217512845993042,1,1,0
0.1,10%,202,Control A (Hybrid Quantum),0.9983465608465609,0.9649122807017544,0.9047619047619048,0.95,0.02156921476125717,2,3,1
