dataset,pca_dim,size_frac,mean_auc_A,mean_auc_B,mean_diff_A_minus_B,p_raw,significant_holm
WDBC,4,0.1,0.9898809523809525,0.9924933862433862,-0.0026124338624338717,0.28515625,False
WDBC,4,0.25,0.9959986772486772,0.9960317460317463,-3.306878306875704e-05,0.6796875,False
WDBC,4,0.5,0.9973875661375662,0.9971230158730158,0.0002645502645502451,0.42578125,False
WDBC,4,1.0,0.9981150793650795,0.9980158730158731,9.920634920633775e-05,0.5,False
WDBC,6,0.1,0.9866732804232804,0.9912037037037038,-0.004530423280423268,0.15234375,False
WDBC,6,0.25,0.9965608465608465,0.9957671957671957,0.0007936507936508353,0.447265625,False
WDBC,6,0.5,0.9959325396825397,0.996494708994709,-0.0005621693121692806,0.17578125,False
WDBC,6,1.0,0.998048941798942,0.9984126984126984,-0.0003637566137565607,0.23046875,False
WDBC,8,0.1,0.9614417989417989,0.9744708994708994,-0.013029100529100501,0.083984375,False
WDBC,8,0.25,0.9863095238095237,0.9909060846560847,-0.00459656084656086,0.015625,False
WDBC,8,0.5,0.9943452380952381,0.9958664021164022,-0.0015211640211640564,0.08203125,False
WDBC,8,1.0,0.997255291005291,0.9972222222222223,3.306878306875704e-05,1.0,False
Heart Disease,4,0.1,0.8417410714285716,0.90078125,-0.059040178571428556,0.005859375,True
Heart Disease,4,0.25,0.9168526785714286,0.9275669642857143,-0.010714285714285732,0.138671875,False
Heart Disease,4,0.5,0.9408482142857142,0.9399553571428572,0.0008928571428571397,0.82421875,False
Heart Disease,4,1.0,0.9610491071428571,0.9610491071428573,-3.3306690738754695e-17,0.98828125,False
Heart Disease,6,0.1,0.8552455357142856,0.8907366071428571,-0.03549107142857146,0.16015625,False
Heart Disease,6,0.25,0.8824776785714287,0.9222098214285713,-0.03973214285714288,0.00390625,True
Heart Disease,6,0.5,0.8991071428571429,0.9308035714285715,-0.03169642857142857,0.0546875,False
Heart Disease,6,1.0,0.9526785714285715,0.9484375,0.0042410714285714525,0.01953125,False
Heart Disease,8,0.1,0.7987723214285715,0.8842633928571428,-0.08549107142857144,0.00390625,True
Heart Disease,8,0.25,0.8463169642857142,0.9025669642857143,-0.05625000000000006,0.001953125,True
Heart Disease,8,0.5,0.8913504464285715,0.9283482142857142,-0.03699776785714283,0.001953125,True
Heart Disease,8,1.0,0.9300223214285716,0.9485491071428571,-0.018526785714285697,0.001953125,True
