dataset,size_frac,comparison,mean_AUC_diff_A_minus_X,p_raw,significant_holm,favors
WDBC,0.1,A vs B,-0.004530423280423268,0.15234375,False,X (control)
WDBC,0.1,A vs C,-0.0034060846560846625,0.193359375,False,X (control)
WDBC,0.1,A vs D,-0.0009259259259258967,0.625,False,X (control)
WDBC,0.25,A vs B,0.0007936507936508353,0.447265625,False,A (quantum)
WDBC,0.25,A vs C,-6.61375661375585e-05,0.642578125,False,X (control)
WDBC,0.25,A vs D,0.002546296296296302,0.07421875,False,A (quantum)
WDBC,0.5,A vs B,-0.0005621693121692806,0.17578125,False,X (control)
WDBC,0.5,A vs C,-0.0005621693121692694,0.234375,False,X (control)
WDBC,0.5,A vs D,-6.61375661375696e-05,0.7109375,False,X (control)
WDBC,1.0,A vs B,-0.0003637566137565607,0.23046875,False,X (control)
WDBC,1.0,A vs C,-0.0001322751322751281,1.0,False,X (control)
WDBC,1.0,A vs D,0.00013227513227516142,0.9140625,False,A (quantum)
Heart Disease,0.1,A vs B,-0.03549107142857146,0.16015625,False,X (control)
Heart Disease,0.1,A vs C,-0.025446428571428613,0.232421875,False,X (control)
Heart Disease,0.1,A vs D,0.03515624999999996,0.244140625,False,A (quantum)
Heart Disease,0.25,A vs B,-0.03973214285714288,0.00390625,True,X (control)
Heart Disease,0.25,A vs C,-0.0291294642857143,0.00390625,True,X (control)
Heart Disease,0.25,A vs D,-0.03236607142857142,0.130859375,False,X (control)
Heart Disease,0.5,A vs B,-0.03169642857142857,0.0546875,False,X (control)
Heart Disease,0.5,A vs C,-0.03292410714285714,0.01953125,False,X (control)
Heart Disease,0.5,A vs D,-0.02220982142857141,0.16015625,False,X (control)
Heart Disease,1.0,A vs B,0.0042410714285714525,0.01953125,False,A (quantum)
Heart Disease,1.0,A vs C,0.006026785714285743,0.1015625,False,A (quantum)
Heart Disease,1.0,A vs D,0.007477678571428581,0.1640625,False,A (quantum)
Parkinson's,0.1,A vs B,-0.04155172413793101,0.083984375,False,X (control)
Parkinson's,0.1,A vs C,-0.05775862068965515,0.10546875,False,X (control)
Parkinson's,0.1,A vs D,-0.0074137931034482405,0.845703125,False,X (control)
Parkinson's,0.25,A vs B,-0.02413793103448274,0.13671875,False,X (control)
Parkinson's,0.25,A vs C,-0.032413793103448274,0.15234375,False,X (control)
Parkinson's,0.25,A vs D,-0.007241379310344775,0.625,False,X (control)
Parkinson's,0.5,A vs B,0.003448275862068961,0.51953125,False,A (quantum)
Parkinson's,0.5,A vs C,0.015862068965517274,0.845703125,False,A (quantum)
Parkinson's,0.5,A vs D,0.02586206896551726,0.037109375,False,A (quantum)
Parkinson's,1.0,A vs B,0.0037931034482758695,0.4453125,False,A (quantum)
Parkinson's,1.0,A vs C,0.0096551724137931,0.65234375,False,A (quantum)
Parkinson's,1.0,A vs D,0.014827586206896514,0.041015625,False,A (quantum)
