pca_dim,size_frac,mean_auc_A,std_auc_A,mean_auc_B,std_auc_B,mean_diff_A_minus_B,p_raw,significant_holm
4,0.1,0.9893719806763285,0.01752498275093434,0.9951690821256038,0.008083671753952424,-0.005797101449275355,0.25,False
4,0.25,1.0,0.0,1.0,0.0,0.0,1.0,False
4,0.5,1.0,0.0,1.0,0.0,0.0,1.0,False
4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,False
6,0.1,0.9888888888888889,0.022248461719168007,0.9942028985507246,0.01328282810132127,-0.005314009661835739,0.25,False
6,0.25,0.9966183574879228,0.010144927536231897,0.9966183574879228,0.010144927536231897,0.0,1.0,False
6,0.5,1.0,0.0,1.0,0.0,0.0,1.0,False
6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,False
8,0.1,0.9657004830917874,0.04130081630239903,0.9816425120772948,0.02635397429369248,-0.01594202898550723,0.078125,False
8,0.25,0.9975845410628018,0.005817195448691924,0.9840579710144928,0.047826086956521754,0.013526570048309183,1.0,False
8,0.5,1.0,0.0,1.0,0.0,0.0,1.0,False
8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,False
