dataset,seed,model,accuracy,auc_roc,recall_sensitivity,specificity,f1,time_sec
WDBC,0,QSVM (Fidelity Quantum Kernel),0.7631578947368421,0.8389550264550265,0.6190476190476191,0.8472222222222222,0.6582278481012658,0.628584623336792
WDBC,0,Classical SVM-RBF,0.9473684210526315,0.9920634920634921,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.002999544143676758
WDBC,1,QSVM (Fidelity Quantum Kernel),0.7456140350877193,0.8326719576719577,0.5476190476190477,0.8611111111111112,0.6133333333333333,0.5902774333953857
WDBC,1,Classical SVM-RBF,0.9649122807017544,0.9973544973544974,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.002315998077392578
WDBC,2,QSVM (Fidelity Quantum Kernel),0.7807017543859649,0.8921957671957671,0.5476190476190477,0.9166666666666666,0.647887323943662,0.6067442893981934
WDBC,2,Classical SVM-RBF,0.9473684210526315,0.9861111111111112,0.9285714285714286,0.9583333333333334,0.9285714285714286,0.002016782760620117
WDBC,3,QSVM (Fidelity Quantum Kernel),0.7368421052631579,0.8551587301587301,0.5,0.875,0.5833333333333334,0.6162757873535156
WDBC,3,Classical SVM-RBF,0.956140350877193,0.998015873015873,0.9523809523809523,0.9583333333333334,0.9411764705882353,0.0034589767456054688
WDBC,4,QSVM (Fidelity Quantum Kernel),0.7280701754385965,0.8121693121693122,0.5,0.8611111111111112,0.5753424657534246,0.6123104095458984
WDBC,4,Classical SVM-RBF,0.9385964912280702,0.9900793650793651,0.8809523809523809,0.9722222222222222,0.9135802469135802,0.0020003318786621094
WDBC,5,QSVM (Fidelity Quantum Kernel),0.7807017543859649,0.8634259259259258,0.5,0.9444444444444444,0.6268656716417911,0.6194789409637451
WDBC,5,Classical SVM-RBF,0.956140350877193,0.9973544973544973,0.9047619047619048,0.9861111111111112,0.9382716049382716,0.001999378204345703
WDBC,6,QSVM (Fidelity Quantum Kernel),0.7982456140350878,0.8991402116402116,0.6904761904761905,0.8611111111111112,0.7160493827160493,0.6117000579833984
WDBC,6,Classical SVM-RBF,0.9649122807017544,0.9857804232804233,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.002000093460083008
WDBC,7,QSVM (Fidelity Quantum Kernel),0.7719298245614035,0.8746693121693121,0.5238095238095238,0.9166666666666666,0.6285714285714286,0.6093640327453613
WDBC,7,Classical SVM-RBF,0.9473684210526315,0.9927248677248677,0.8809523809523809,0.9861111111111112,0.925,0.001997232437133789
WDBC,8,QSVM (Fidelity Quantum Kernel),0.7807017543859649,0.8941798941798942,0.5714285714285714,0.9027777777777778,0.6575342465753424,0.5888798236846924
WDBC,8,Classical SVM-RBF,0.9912280701754386,0.9970238095238095,0.9761904761904762,1.0,0.9879518072289156,0.0019996166229248047
WDBC,9,QSVM (Fidelity Quantum Kernel),0.8245614035087719,0.9117063492063492,0.6190476190476191,0.9444444444444444,0.7222222222222222,0.591533899307251
WDBC,9,Classical SVM-RBF,0.9649122807017544,0.9957010582010581,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.0019998550415039062
Heart Disease,0,QSVM (Fidelity Quantum Kernel),0.5833333333333334,0.5859375,0.39285714285714285,0.75,0.46808510638297873,0.3184621334075928
Heart Disease,0,Classical SVM-RBF,0.85,0.9274553571428572,0.8214285714285714,0.875,0.8363636363636363,0.0020465850830078125
Heart Disease,1,QSVM (Fidelity Quantum Kernel),0.5833333333333334,0.5736607142857142,0.5714285714285714,0.59375,0.5614035087719298,0.3116767406463623
Heart Disease,1,Classical SVM-RBF,0.8833333333333333,0.9040178571428572,0.8571428571428571,0.90625,0.8727272727272727,0.0019979476928710938
Heart Disease,2,QSVM (Fidelity Quantum Kernel),0.5666666666666667,0.6305803571428572,0.5357142857142857,0.59375,0.5357142857142857,0.3221104145050049
Heart Disease,2,Classical SVM-RBF,0.8,0.8839285714285714,0.8571428571428571,0.75,0.8,0.002000570297241211
Heart Disease,3,QSVM (Fidelity Quantum Kernel),0.65,0.7377232142857143,0.5,0.78125,0.5714285714285714,0.32956814765930176
Heart Disease,3,Classical SVM-RBF,0.7833333333333333,0.8638392857142857,0.7857142857142857,0.78125,0.7719298245614035,0.001999378204345703
Heart Disease,4,QSVM (Fidelity Quantum Kernel),0.65,0.71875,0.4642857142857143,0.8125,0.5531914893617021,0.3288002014160156
Heart Disease,4,Classical SVM-RBF,0.85,0.8772321428571429,0.75,0.9375,0.8235294117647058,0.0010170936584472656
Heart Disease,5,QSVM (Fidelity Quantum Kernel),0.55,0.5814732142857143,0.6428571428571429,0.46875,0.5714285714285714,0.3202371597290039
Heart Disease,5,Classical SVM-RBF,0.85,0.9229910714285714,0.8571428571428571,0.84375,0.8421052631578947,0.001989603042602539
Heart Disease,6,QSVM (Fidelity Quantum Kernel),0.6166666666666667,0.6517857142857142,0.39285714285714285,0.8125,0.4888888888888889,0.3204917907714844
Heart Disease,6,Classical SVM-RBF,0.9,0.9475446428571428,0.8571428571428571,0.9375,0.8888888888888888,0.0019986629486083984
Heart Disease,7,QSVM (Fidelity Quantum Kernel),0.5666666666666667,0.6517857142857143,0.42857142857142855,0.6875,0.48,0.3273441791534424
Heart Disease,7,Classical SVM-RBF,0.8333333333333334,0.8426339285714286,0.7857142857142857,0.875,0.8148148148148148,0.0020520687103271484
Heart Disease,8,QSVM (Fidelity Quantum Kernel),0.6,0.5625,0.35714285714285715,0.8125,0.45454545454545453,0.3092496395111084
Heart Disease,8,Classical SVM-RBF,0.7666666666666667,0.8270089285714286,0.6785714285714286,0.84375,0.7307692307692307,0.002031564712524414
