auc,acc,sens,spec,f1,brier,train_time,model,fold,n_train,n_test
0.987012987012987,0.9473684210526315,0.9545454545454546,0.9428571428571428,0.9333333333333333,0.03915230184793472,14.56097674369812,Control A (Hybrid QNN),1,512,57
0.996103896103896,0.9649122807017544,0.9545454545454546,0.9714285714285714,0.9545454545454546,0.02155320718884468,0.47206974029541016,Control B (Classical MLP),1,512,57
1.0,1.0,1.0,1.0,1.0,0.005537752062082291,14.552318572998047,Control A (Hybrid QNN),2,512,57
0.9987012987012986,0.9824561403508771,1.0,0.9714285714285714,0.9777777777777777,0.015758449211716652,0.5091028213500977,Control B (Classical MLP),2,512,57
0.9947089947089947,0.9473684210526315,0.9047619047619048,0.9722222222222222,0.926829268292683,0.04557431489229202,14.37343978881836,Control A (Hybrid QNN),3,512,57
0.9986772486772486,0.9649122807017544,0.9523809523809523,0.9722222222222222,0.9523809523809523,0.010880334302783012,0.4649472236633301,Control B (Classical MLP),3,512,57
0.9947089947089947,0.9122807017543859,0.7619047619047619,1.0,0.8648648648648649,0.04573969542980194,14.49410629272461,Control A (Hybrid QNN),4,512,57
0.9814814814814815,0.9122807017543859,0.8095238095238095,0.9722222222222222,0.8717948717948718,0.06660577654838562,0.4653768539428711,Control B (Classical MLP),4,512,57
0.9563492063492063,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.02079125866293907,14.254552125930786,Control A (Hybrid QNN),5,512,57
0.9814814814814815,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.02087373472750187,0.5476078987121582,Control B (Classical MLP),5,512,57
0.9973544973544973,0.9473684210526315,0.9047619047619048,0.9722222222222222,0.926829268292683,0.02264557033777237,14.42188286781311,Control A (Hybrid QNN),6,512,57
0.9973544973544973,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.01865563914179802,0.46534132957458496,Control B (Classical MLP),6,512,57
1.0,0.9824561403508771,1.0,0.9722222222222222,0.9767441860465116,0.007806346286088228,14.602192878723145,Control A (Hybrid QNN),7,512,57
1.0,1.0,1.0,1.0,1.0,0.00046654854668304324,0.4791138172149658,Control B (Classical MLP),7,512,57
1.0,0.9298245614035088,1.0,0.8888888888888888,0.9130434782608695,0.05925924330949783,14.567095279693604,Control A (Hybrid QNN),8,512,57
1.0,0.9298245614035088,1.0,0.8888888888888888,0.9130434782608695,0.032042745500802994,0.4650592803955078,Control B (Classical MLP),8,512,57
0.9854497354497355,0.9473684210526315,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.032840799540281296,14.507697820663452,Control A (Hybrid QNN),9,512,57
0.9933862433862435,0.9824561403508771,0.9523809523809523,1.0,0.975609756097561,0.018875516951084137,0.5497407913208008,Control B (Classical MLP),9,512,57
1.0,1.0,1.0,1.0,1.0,0.005244703032076359,15.712455749511719,Control A (Hybrid QNN),10,513,56
1.0,1.0,1.0,1.0,1.0,0.001773505238816142,0.4791910648345947,Control B (Classical MLP),10,513,56
