threshold,sensitivity,specificity,accuracy,tn,fp,fn,tp
0.05,1.0,0.9028,0.9386,65,7,0,42
0.1,1.0,0.9306,0.9561,67,5,0,42
0.15,0.9762,0.9583,0.9649,69,3,1,41
0.2,0.9762,0.9583,0.9649,69,3,1,41
0.25,0.9762,0.9583,0.9649,69,3,1,41
0.3,0.9762,0.9722,0.9737,70,2,1,41
0.35,0.9762,0.9722,0.9737,70,2,1,41
0.4,0.9762,0.9861,0.9825,71,1,1,41
0.45,0.9762,1.0,0.9912,72,0,1,41
0.5,0.9524,1.0,0.9825,72,0,2,40
0.55,0.9524,1.0,0.9825,72,0,2,40
0.6,0.9286,1.0,0.9737,72,0,3,39
0.65,0.9048,1.0,0.9649,72,0,4,38
0.7,0.9048,1.0,0.9649,72,0,4,38
0.75,0.9048,1.0,0.9649,72,0,4,38
0.8,0.881,1.0,0.9561,72,0,5,37
0.85,0.881,1.0,0.9561,72,0,5,37
0.9,0.8333,1.0,0.9386,72,0,7,35
0.95,0.7619,1.0,0.9123,72,0,10,32
